Ref,Val,Package,PosX,PosY,Rot,Side
"R53","309K","R_0603",83.000000,-129.400000,90.000000,top
"R54","10K","R_0603",57.000000,-137.380000,90.000000,top
"R55","100K","R_0603",80.000000,-129.400000,90.000000,top
"R56","330R","R_0603",63.050000,-140.030000,180.000000,top
"R57","0R05","R_1206",79.200000,-106.100000,0.000000,top
"R58","5K1","R_0603",60.900000,-127.100000,180.000000,top
"R59","2k0","R_0805",58.390000,-60.900000,270.000000,top
"R60","2k0","R_0805",58.390000,-64.310000,90.000000,top
"R61","5K1","R_0603",60.900000,-129.300000,180.000000,top
"R62","330R","R_0603",58.800000,-80.000000,180.000000,top
"R63","330R","R_0603",58.800000,-77.500000,180.000000,top
"R64","330R","R_0603",58.800000,-74.700000,180.000000,top
"R65","4k7","R_0603",111.700000,-45.000000,270.000000,top
"R66","4k7","R_0603",113.200000,-45.000000,270.000000,top
"R67","330R","R_0603",58.800000,-72.320000,180.000000,top
"R68","100K","R_0603",86.500000,-147.000000,180.000000,top
"R69","48K7","R_0805",112.800000,-94.300000,270.000000,top
"R70","5K6","R_0603",104.710000,-126.660000,0.000000,top
"R71","1K","R_0603",105.610000,-122.160000,90.000000,top
"R72","1K","R_0603",107.710000,-122.160000,90.000000,top
"R73","1K","R_0603",108.710000,-124.660000,90.000000,top
"R74","5K6","R_0603",107.710000,-126.660000,0.000000,top
"R75","1K","R_0603",110.710000,-124.660000,90.000000,top
"R76","1K","R_0603",109.710000,-122.160000,90.000000,top
"R77","5K6","R_0603",110.710000,-126.660000,180.000000,top
"R78","1K","R_0603",111.610000,-122.160000,270.000000,top
"R79","309K","R_0603",76.200000,-50.100000,270.000000,top
"R80","309K","R_0603",76.200000,-47.600000,270.000000,top
"R81","309K","R_0603",76.200000,-42.600000,270.000000,top
"R82","309K","R_0603",76.200000,-45.100000,270.000000,top
"T1","PDTC143XU","SOT-323_SC-70",119.600000,-92.400000,0.000000,top
"T2","PDTC143XU","SOT-323_SC-70",119.290000,-135.210000,270.000000,top
"T3","PDTC143XU","SOT-323_SC-70",119.900000,-40.000000,90.000000,top
"T4","PDTC143XU","SOT-323_SC-70",63.500000,-136.430000,180.000000,top
"T5","PDTC143XU","SOT-323_SC-70",61.900000,-80.600000,180.000000,top
"T6","PDTC143XU","SOT-323_SC-70",61.900000,-77.600000,180.000000,top
"T7","PDTC143XU","SOT-323_SC-70",61.900000,-74.600000,180.000000,top
"T8","PDTC143XU","SOT-323_SC-70",61.900000,-71.600000,180.000000,top
"T9","PDTC143XU","SOT-323_SC-70",119.600000,-95.600000,0.000000,top
"T10","PDTC143XU","SOT-323_SC-70",114.300000,-84.100000,0.000000,top
"U1","AT24CM01-SSHD-B","SOIC-8_3.9x4.9mm_Pitch1.27mm",83.900000,-48.030000,0.000000,top
"U2","AT24CM01-SSHD-B","SOIC-8_3.9x4.9mm_Pitch1.27mm",83.900000,-54.030000,0.000000,top
"U3","AT24CM01-SSHD-B","SOIC-8_3.9x4.9mm_Pitch1.27mm",83.900000,-60.030000,0.000000,top
"U4","MB85RC1MTPNF-G-JNERE1","SOIC-8_3.9x4.9mm_Pitch1.27mm",83.900000,-66.030000,0.000000,top
"U5","SP336EEY-L","TSSOP-28_4.4x9.7mm_Pitch0.65mm",110.000000,-35.000000,180.000000,top
"U6","SP336EEY-L","TSSOP-28_4.4x9.7mm_Pitch0.65mm",79.000000,-35.000000,180.000000,top
"U8","ESDA6V1-5W6","SOT363_ESDA6V1-5W6",111.500000,-112.800000,90.000000,top
"U9","NCP3170","SOIC-8_3.9x4.9mm_Pitch1.27mm",79.129333,-147.690936,0.000000,top
"U10","TPS737","SOT-223-6",107.900000,-90.000000,90.000000,top
"U11","ATXMEGA256A3U","TQFP-64_14x14mm_Pitch0.8mm",105.000000,-56.000000,180.000000,top
"U13","SIM800C","SIMCom_SIM800C",105.000000,-138.225000,270.000000,top
"U14","LTC4417IGN","SSOP-24_3.9x8.7mm_Pitch0.635mm",78.600000,-89.800000,270.000000,top
"U15","FPF2701MX","SOP-8_FPF2701MX",64.600000,-45.900000,180.000000,top
"U16","FPF2701MX","SOP-8_FPF2701MX",64.600000,-51.400000,180.000000,top
"U20","MIC1555","SOT-23-5",59.800000,-135.405000,0.000000,top
"U21","FPF2701MX","SOP-8_FPF2701MX",64.600000,-34.900000,180.000000,top
"U22","FPF2701MX","SOP-8_FPF2701MX",64.600000,-40.400000,180.000000,top
"U23","PCA9517ADP","TSSOP-8_3x3mm_Pitch0.65mm",117.000000,-46.300000,180.000000,top
"U24","MPL3115A2","LGA-8_3x5mm_Pitch1.25mm",86.750000,-73.750000,135.000000,top
"U25","PCAL9554B","TSSOP-16_4.4x5mm_Pitch0.65mm",96.500000,-36.900000,0.000000,top
"U26","PCAL9535APW","TSSOP-24_4.4x7.8mm_Pitch0.65mm",75.293829,-74.748793,90.000000,top
"Y1","Crystal","Crystal_SMD_MicroCrystal_CC7V-T1A-2pin_3.2x1.5mm",93.900000,-56.300000,90.000000,top
